component,pattern,column
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_change_of_electricity_tariff_e_g_switching_to_a_time_of_use_tariff
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_cooling_system
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_domestic_hot_water_system_e_g_gas_boiler_electric_water_heater_thermo_solar_thermal_system
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_electric_vehicle
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_elevator
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_energy_efficient_appliances
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_energy_storage_systems
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_envelope_renovation_e_g_wall_roof_insulation_double_windows
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_fossil_fuel_or_biomass_based_heating_system
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_heat_pump_based_heating_system
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_heat_recovery_mechanical_ventilation
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_join_an_energy_community
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_micro_efficiency_measures_e_g_avoiding_unnecessary_consumption
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_rooftop_photovoltaic_system_solar_pv
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_smart_home_systems
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_provide_your_identification_code
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_provide_your_prolific_id
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_concern_for_each_of_the_following_social_paradigms_on_a_scale_from_not_at_all_concerned_to_very_concerned_amount_of_citizen_participation_in_energy_sector_decision_making
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_concern_for_each_of_the_following_social_paradigms_on_a_scale_from_not_at_all_concerned_to_very_concerned_capacity_of_the_citizen_to_foster_changes_in_the_energy_sector
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_concern_for_each_of_the_following_social_paradigms_on_a_scale_from_not_at_all_concerned_to_very_concerned_changes_in_the_cost_of_energy_due_the_instalation_of_large_consumers_such_us_large_industries_or_data_centers
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_concern_for_each_of_the_following_social_paradigms_on_a_scale_from_not_at_all_concerned_to_very_concerned_changes_in_the_cost_of_energy_due_to_the_deployment_of_international_interconections
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_concern_for_each_of_the_following_social_paradigms_on_a_scale_from_not_at_all_concerned_to_very_concerned_climate_vulnerability
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_concern_for_each_of_the_following_social_paradigms_on_a_scale_from_not_at_all_concerned_to_very_concerned_digital_exclusion_in_energy_transition
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_concern_for_each_of_the_following_social_paradigms_on_a_scale_from_not_at_all_concerned_to_very_concerned_energy_poverty
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_concern_for_each_of_the_following_social_paradigms_on_a_scale_from_not_at_all_concerned_to_very_concerned_impact_of_the_energy_sector_on_cultural_heritage
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_concern_for_each_of_the_following_social_paradigms_on_a_scale_from_not_at_all_concerned_to_very_concerned_limited_energy_literacy
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_concern_for_each_of_the_following_social_paradigms_on_a_scale_from_not_at_all_concerned_to_very_concerned_power_outages_or_interruptions_in_electricity_supply
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_concern_for_each_of_the_following_social_paradigms_on_a_scale_from_not_at_all_concerned_to_very_concerned_profitability_of_utilities
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_concern_for_each_of_the_following_social_paradigms_on_a_scale_from_not_at_all_concerned_to_very_concerned_unequal_grid_investment_prioritization
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_support_for_each_of_the_following_electricity_generation_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_biomass_biofuels
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_support_for_each_of_the_following_electricity_generation_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_fossil_fuel_power_plants
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_support_for_each_of_the_following_electricity_generation_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_geothermal_energy
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_support_for_each_of_the_following_electricity_generation_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_large_scale_hydropower
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_support_for_each_of_the_following_electricity_generation_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_large_scale_solar_farms_pv
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_support_for_each_of_the_following_electricity_generation_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_nuclear_fission
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_support_for_each_of_the_following_electricity_generation_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_nuclear_fusion
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_support_for_each_of_the_following_electricity_generation_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_ocean_energy
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_support_for_each_of_the_following_electricity_generation_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_offshore_wind
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_support_for_each_of_the_following_electricity_generation_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_onshore_wind
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_support_for_each_of_the_following_electricity_generation_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_self_supply_solar_pv
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_support_for_each_of_the_following_energy_system_infrastructure_on_a_scale_from_strongly_oppose_to_strongly_support_carbon_management
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_support_for_each_of_the_following_energy_system_infrastructure_on_a_scale_from_strongly_oppose_to_strongly_support_energy_communities
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_support_for_each_of_the_following_energy_system_infrastructure_on_a_scale_from_strongly_oppose_to_strongly_support_ev_charging_infrastructure
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_support_for_each_of_the_following_energy_system_infrastructure_on_a_scale_from_strongly_oppose_to_strongly_support_green_fuel_production
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_support_for_each_of_the_following_energy_system_infrastructure_on_a_scale_from_strongly_oppose_to_strongly_support_large_scale_energy_storage
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_support_for_each_of_the_following_energy_system_infrastructure_on_a_scale_from_strongly_oppose_to_strongly_support_local_microgrids
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_support_for_each_of_the_following_energy_system_infrastructure_on_a_scale_from_strongly_oppose_to_strongly_support_onshore_power_lines
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_support_for_each_of_the_following_energy_system_infrastructure_on_a_scale_from_strongly_oppose_to_strongly_support_pipeline_expansion
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_support_for_each_of_the_following_energy_system_infrastructure_on_a_scale_from_strongly_oppose_to_strongly_support_smart_grid_technology
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_support_for_each_of_the_following_energy_system_infrastructure_on_a_scale_from_strongly_oppose_to_strongly_support_submarine_power_cables
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_support_for_each_of_the_following_heating_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_biomass_or_biofuels
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_support_for_each_of_the_following_heating_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_district_heating_networks
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_support_for_each_of_the_following_heating_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_electric_radiators_heaters
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_support_for_each_of_the_following_heating_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_fossil_fuel_systems
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_support_for_each_of_the_following_heating_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_heat_pumps
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_support_for_each_of_the_following_heating_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_hydrogen_or_hythane
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_rate_your_level_of_support_for_each_of_the_following_heating_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_solar_thermal_heat_generation
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__please_select_strongly_disagree
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__select_the_three_aspects_most_important_when_deciding_whether_you_consider_an_information_source_trustworthy
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__thank_you_for_reaching_this_point_in_the_survey_you_may_continue_if_you_have_time_or_finish_now_if_you_prefer_do_you_have_time_to_continue
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_amount_of_citizen_participation_in_energy_sector_decision_making_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_biomass_biofuels_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_biomass_or_biofuels_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_capacity_of_the_citizen_to_foster_changes_in_the_energy_sector_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_carbon_management_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_changes_in_the_cost_of_energy_due_the_instalation_of_large_consumers_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_changes_in_the_cost_of_energy_due_to_the_deployment_of_international_interconections_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_climate_vulnerability_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_digital_exclusion_in_energy_transition_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_district_heating_networks_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_electric_radiators_heaters_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_energy_communities_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_energy_poverty_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_ev_charging_infrastructure_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_fossil_fuel_power_plants_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_fossil_fuel_systems_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_geothermal_energy_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_green_fuel_production_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_heat_pumps_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_hydrogen_or_hythane_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_impact_of_the_energy_sector_on_cultural_heritage_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_large_scale_energy_storage_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_large_scale_hydropower_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_large_scale_solar_farms_pv_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_limited_energy_literacy_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_local_microgrids_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_nuclear_fission_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_nuclear_fusion_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_ocean_energy_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_offshore_wind_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_onshore_power_lines_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_onshore_wind_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_pipeline_expansion_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_power_outages_or_interruptions_in_electricity_supply_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_profitability_of_utilities_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_self_supply_solar_pv_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_smart_grid_technology_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_solar_thermal_heat_generation_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_submarine_power_cables_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__we_noticed_you_have_concerns_about_unequal_grid_investment_prioritisation_could_you_tell_us_why_please_select_up_to_three_concerns
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__what_are_your_main_barriers_to_performing_a_deep_renovation_of_your_household_please_select_all_that_apply_to_you_if_you_have_doubts_the_button_includes_a_longer_description_of_each_option
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__what_is_the_approximate_population_size_of_the_city_where_you_live
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__what_is_the_current_tenure_status_of_your_home
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__what_is_the_highest_level_of_education_that_you_have_completed_if_you_are_currently_studying_and_have_not_yet_completed_a_level_please_select_the_last_level_you_have_finished
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__what_is_your_current_employment_status_please_indicate_your_main_contractual_status_if_you_are_temporarily_on_leave_such_as_sick_leave_parental_leave_or_a_temporary_reduction_in_working_hours_please_report_your_usual_employment_status
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__what_is_your_gender
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__what_type_of_household_do_you_live_in_please_select_the_option_that_best_describes_your_household
concerns_barriers,concern|barrier|worry|fear,rv_concerns2__which_of_the_following_best_describes_your_general_approach_to_voting_in_elections
