context,variable,category,n,total_n,prop
01_all_integrated_rows,voted_observed,Missing,4130,4756,0.868376787216148
01_all_integrated_rows,voted_observed,1,484,4756,0.10176619007569386
01_all_integrated_rows,voted_observed,0,142,4756,0.029857022708158116
01_all_integrated_rows,political_left_right_model,Missing,3803,4756,0.7996215306980656
01_all_integrated_rows,political_left_right_model,50,64,4756,0.01345668629100084
01_all_integrated_rows,political_left_right_model,0,61,4756,0.012825904121110177
01_all_integrated_rows,political_left_right_model,20,59,4756,0.0124053826745164
01_all_integrated_rows,political_left_right_model,25,56,4756,0.011774600504625737
01_all_integrated_rows,political_left_right_model,10,46,4756,0.009671993271656855
01_all_integrated_rows,political_left_right_model,30,46,4756,0.009671993271656855
01_all_integrated_rows,political_left_right_model,60,41,4756,0.008620689655172414
01_all_integrated_rows,political_left_right_model,15,40,4756,0.008410428931875526
01_all_integrated_rows,political_left_right_model,40,39,4756,0.008200168208578638
01_all_integrated_rows,political_left_right_model,45,23,4756,0.004835996635828428
01_all_integrated_rows,political_left_right_model,35,22,4756,0.004625735912531539
01_all_integrated_rows,political_left_right_model,55,22,4756,0.004625735912531539
01_all_integrated_rows,political_left_right_model,65,20,4756,0.004205214465937763
01_all_integrated_rows,political_left_right_model,75,17,4756,0.0035744322960470985
01_all_integrated_rows,political_left_right_model,19,16,4756,0.00336417157275021
01_all_integrated_rows,political_left_right_model,70,16,4756,0.00336417157275021
01_all_integrated_rows,political_left_right_model,33,15,4756,0.003153910849453322
01_all_integrated_rows,political_left_right_model,23,14,4756,0.002943650126156434
01_all_integrated_rows,political_left_right_model,11,10,4756,0.0021026072329688814
01_all_integrated_rows,political_left_right_model,12,10,4756,0.0021026072329688814
01_all_integrated_rows,political_left_right_model,7,10,4756,0.0021026072329688814
01_all_integrated_rows,political_left_right_model,80,10,4756,0.0021026072329688814
01_all_integrated_rows,political_left_right_model,100,9,4756,0.0018923465096719932
01_all_integrated_rows,political_left_right_model,16,9,4756,0.0018923465096719932
01_all_integrated_rows,political_left_right_model,17,9,4756,0.0018923465096719932
01_all_integrated_rows,political_left_right_model,26,9,4756,0.0018923465096719932
01_all_integrated_rows,political_left_right_model,37,9,4756,0.0018923465096719932
01_all_integrated_rows,political_left_right_model,85,9,4756,0.0018923465096719932
01_all_integrated_rows,political_left_right_model,13,8,4756,0.001682085786375105
01_all_integrated_rows,political_left_right_model,14,8,4756,0.001682085786375105
01_all_integrated_rows,political_left_right_model,18,8,4756,0.001682085786375105
01_all_integrated_rows,political_left_right_model,36,8,4756,0.001682085786375105
01_all_integrated_rows,political_left_right_model,5,8,4756,0.001682085786375105
01_all_integrated_rows,political_left_right_model,51,8,4756,0.001682085786375105
01_all_integrated_rows,political_left_right_model,21,7,4756,0.001471825063078217
01_all_integrated_rows,political_left_right_model,22,7,4756,0.001471825063078217
01_all_integrated_rows,political_left_right_model,24,7,4756,0.001471825063078217
01_all_integrated_rows,political_left_right_model,49,7,4756,0.001471825063078217
01_all_integrated_rows,political_left_right_model,9,7,4756,0.001471825063078217
01_all_integrated_rows,political_left_right_model,38,6,4756,0.001261564339781329
01_all_integrated_rows,political_left_right_model,44,6,4756,0.001261564339781329
01_all_integrated_rows,political_left_right_model,47,6,4756,0.001261564339781329
01_all_integrated_rows,political_left_right_model,48,6,4756,0.001261564339781329
01_all_integrated_rows,political_left_right_model,73,6,4756,0.001261564339781329
01_all_integrated_rows,political_left_right_model,28,5,4756,0.0010513036164844407
01_all_integrated_rows,political_left_right_model,29,5,4756,0.0010513036164844407
01_all_integrated_rows,political_left_right_model,32,5,4756,0.0010513036164844407
01_all_integrated_rows,political_left_right_model,42,5,4756,0.0010513036164844407
01_all_integrated_rows,political_left_right_model,52,5,4756,0.0010513036164844407
01_all_integrated_rows,political_left_right_model,6,5,4756,0.0010513036164844407
01_all_integrated_rows,political_left_right_model,61,5,4756,0.0010513036164844407
01_all_integrated_rows,political_left_right_model,1,4,4756,8.410428931875525e-4
01_all_integrated_rows,political_left_right_model,2,4,4756,8.410428931875525e-4
01_all_integrated_rows,political_left_right_model,27,4,4756,8.410428931875525e-4
01_all_integrated_rows,political_left_right_model,4,4,4756,8.410428931875525e-4
01_all_integrated_rows,political_left_right_model,41,4,4756,8.410428931875525e-4
01_all_integrated_rows,political_left_right_model,77,4,4756,8.410428931875525e-4
01_all_integrated_rows,political_left_right_model,8,4,4756,8.410428931875525e-4
01_all_integrated_rows,political_left_right_model,34,3,4756,6.307821698906644e-4
01_all_integrated_rows,political_left_right_model,43,3,4756,6.307821698906644e-4
01_all_integrated_rows,political_left_right_model,46,3,4756,6.307821698906644e-4
01_all_integrated_rows,political_left_right_model,53,3,4756,6.307821698906644e-4
01_all_integrated_rows,political_left_right_model,57,3,4756,6.307821698906644e-4
01_all_integrated_rows,political_left_right_model,58,3,4756,6.307821698906644e-4
01_all_integrated_rows,political_left_right_model,67,3,4756,6.307821698906644e-4
01_all_integrated_rows,political_left_right_model,68,3,4756,6.307821698906644e-4
01_all_integrated_rows,political_left_right_model,90,3,4756,6.307821698906644e-4
01_all_integrated_rows,political_left_right_model,3,2,4756,4.2052144659377626e-4
01_all_integrated_rows,political_left_right_model,31,2,4756,4.2052144659377626e-4
01_all_integrated_rows,political_left_right_model,54,2,4756,4.2052144659377626e-4
01_all_integrated_rows,political_left_right_model,56,2,4756,4.2052144659377626e-4
01_all_integrated_rows,political_left_right_model,62,2,4756,4.2052144659377626e-4
01_all_integrated_rows,political_left_right_model,63,2,4756,4.2052144659377626e-4
01_all_integrated_rows,political_left_right_model,66,2,4756,4.2052144659377626e-4
01_all_integrated_rows,political_left_right_model,69,2,4756,4.2052144659377626e-4
01_all_integrated_rows,political_left_right_model,72,2,4756,4.2052144659377626e-4
01_all_integrated_rows,political_left_right_model,74,2,4756,4.2052144659377626e-4
01_all_integrated_rows,political_left_right_model,76,2,4756,4.2052144659377626e-4
01_all_integrated_rows,political_left_right_model,83,2,4756,4.2052144659377626e-4
01_all_integrated_rows,political_left_right_model,84,2,4756,4.2052144659377626e-4
01_all_integrated_rows,political_left_right_model,87,2,4756,4.2052144659377626e-4
01_all_integrated_rows,political_left_right_model,39,1,4756,2.1026072329688813e-4
01_all_integrated_rows,political_left_right_model,59,1,4756,2.1026072329688813e-4
01_all_integrated_rows,political_left_right_model,64,1,4756,2.1026072329688813e-4
01_all_integrated_rows,political_left_right_model,78,1,4756,2.1026072329688813e-4
01_all_integrated_rows,political_left_right_model,79,1,4756,2.1026072329688813e-4
01_all_integrated_rows,political_left_right_model,81,1,4756,2.1026072329688813e-4
01_all_integrated_rows,political_left_right_model,82,1,4756,2.1026072329688813e-4
01_all_integrated_rows,political_left_right_model,86,1,4756,2.1026072329688813e-4
01_all_integrated_rows,political_left_right_model,89,1,4756,2.1026072329688813e-4
01_all_integrated_rows,political_left_right_model,92,1,4756,2.1026072329688813e-4
01_all_integrated_rows,political_left_right_model,99,1,4756,2.1026072329688813e-4
01_all_integrated_rows,political_block_model,unknown,3803,4756,0.7996215306980656
01_all_integrated_rows,political_block_model,left,290,4756,0.06097560975609756
01_all_integrated_rows,political_block_model,extreme_left,273,4756,0.05740117746005046
01_all_integrated_rows,political_block_model,centre,256,4756,0.05382674516400336
01_all_integrated_rows,political_block_model,right,101,4756,0.021236333052985702
01_all_integrated_rows,political_block_model,extreme_right,33,4756,0.006938603868797309
01_all_integrated_rows,self_classification_raw,Missing,3641,4756,0.7655592935239697
01_all_integrated_rows,self_classification_raw,I am more likely to invest if it maximizes my comfort or well-being and that of my household.,323,4756,0.06791421362489487
01_all_integrated_rows,self_classification_raw,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,280,4756,0.05887300252312868
01_all_integrated_rows,self_classification_raw,I am more likely to invest if it improves my safety or that of my household.,167,4756,0.03511354079058032
01_all_integrated_rows,self_classification_raw,I am more likely to invest if it helps reduce my environmental impact.,135,4756,0.0283851976450799
01_all_integrated_rows,self_classification_raw,"I would invest out of ethical or social commitment to environmental protection, regardless of direct personal benefits.",88,4756,0.018502943650126155
01_all_integrated_rows,self_classification_raw,"I am more likely to invest if it improves my social status or aligns with the norms of my colleagues, friends, or family.",46,4756,0.009671993271656855
01_all_integrated_rows,self_classification_raw,"I am not very interested in new equipment, technologies, or environmental actions and usually stick to what I am used to.",32,4756,0.00672834314550042
01_all_integrated_rows,self_classification_raw,Νone of the above.,29,4756,0.006097560975609756
01_all_integrated_rows,self_classification_raw,"I consider myself an early adopter and enjoy following the latest trends, even if this involves some risks or impacts on the environment.",11,4756,0.0023128679562657694
01_all_integrated_rows,self_classification_raw,I am more likely to invest if it maximizes my comfort or well-being and that of my household. | I am more likely to invest if it helps reduce my environmental impact.,1,4756,2.1026072329688813e-4
01_all_integrated_rows,self_classification_raw,I am more likely to invest if it maximizes my comfort or well-being and that of my household. | I am more likely to invest if it improves my safety or that of my household.,1,4756,2.1026072329688813e-4
01_all_integrated_rows,self_classification_raw,I am more likely to invest if it maximizes my comfort or well-being and that of my household. | My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,1,4756,2.1026072329688813e-4
01_all_integrated_rows,self_classification_raw,"My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding. | I am not very interested in new equipment, technologies, or environmental actions and usually stick to what I am used to.",1,4756,2.1026072329688813e-4
01_all_integrated_rows,self_classification_raw_clean,Missing,3641,4756,0.7655592935239697
01_all_integrated_rows,self_classification_raw_clean,I am more likely to invest if it maximizes my comfort or well-being and that of my household.,323,4756,0.06791421362489487
01_all_integrated_rows,self_classification_raw_clean,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,280,4756,0.05887300252312868
01_all_integrated_rows,self_classification_raw_clean,I am more likely to invest if it improves my safety or that of my household.,167,4756,0.03511354079058032
01_all_integrated_rows,self_classification_raw_clean,I am more likely to invest if it helps reduce my environmental impact.,135,4756,0.0283851976450799
01_all_integrated_rows,self_classification_raw_clean,"I would invest out of ethical or social commitment to environmental protection, regardless of direct personal benefits.",88,4756,0.018502943650126155
01_all_integrated_rows,self_classification_raw_clean,"I am more likely to invest if it improves my social status or aligns with the norms of my colleagues, friends, or family.",46,4756,0.009671993271656855
01_all_integrated_rows,self_classification_raw_clean,"I am not very interested in new equipment, technologies, or environmental actions and usually stick to what I am used to.",32,4756,0.00672834314550042
01_all_integrated_rows,self_classification_raw_clean,Νone of the above.,29,4756,0.006097560975609756
01_all_integrated_rows,self_classification_raw_clean,"I consider myself an early adopter and enjoy following the latest trends, even if this involves some risks or impacts on the environment.",11,4756,0.0023128679562657694
01_all_integrated_rows,self_classification_raw_clean,I am more likely to invest if it maximizes my comfort or well-being and that of my household. | I am more likely to invest if it helps reduce my environmental impact.,1,4756,2.1026072329688813e-4
01_all_integrated_rows,self_classification_raw_clean,I am more likely to invest if it maximizes my comfort or well-being and that of my household. | I am more likely to invest if it improves my safety or that of my household.,1,4756,2.1026072329688813e-4
01_all_integrated_rows,self_classification_raw_clean,I am more likely to invest if it maximizes my comfort or well-being and that of my household. | My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,1,4756,2.1026072329688813e-4
01_all_integrated_rows,self_classification_raw_clean,"My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding. | I am not very interested in new equipment, technologies, or environmental actions and usually stick to what I am used to.",1,4756,2.1026072329688813e-4
01_all_integrated_rows,self_classification_archetype_model,Missing,3641,4756,0.7655592935239697
01_all_integrated_rows,self_classification_archetype_model,Careful,324,4756,0.06812447434819176
01_all_integrated_rows,self_classification_archetype_model,Homo economicus,280,4756,0.05887300252312868
01_all_integrated_rows,self_classification_archetype_model,Fearful,168,4756,0.03532380151387721
01_all_integrated_rows,self_classification_archetype_model,Activist,136,4756,0.028595458368376788
01_all_integrated_rows,self_classification_archetype_model,Stubborn,88,4756,0.018502943650126155
01_all_integrated_rows,self_classification_archetype_model,Influencer,46,4756,0.009671993271656855
01_all_integrated_rows,self_classification_archetype_model,Uninterested,33,4756,0.006938603868797309
01_all_integrated_rows,self_classification_archetype_model,None,29,4756,0.006097560975609756
01_all_integrated_rows,self_classification_archetype_model,Early adopter,11,4756,0.0023128679562657694
01_all_integrated_rows,row_quality_final,usable_complete,3613,4756,0.7596719932716569
01_all_integrated_rows,row_quality_final,usable_partial,508,4756,0.10681244743481917
01_all_integrated_rows,row_quality_final,no_determinants,294,4756,0.06181665264928511
01_all_integrated_rows,row_quality_final,usable_complete_limited_metadata,164,4756,0.034482758620689655
01_all_integrated_rows,row_quality_final,usable_partial_limited_metadata,87,4756,0.018292682926829267
01_all_integrated_rows,row_quality_final,too_many_missing_determinants,75,4756,0.01576955424726661
01_all_integrated_rows,row_quality_final,suspicious_determinants,15,4756,0.003153910849453322
01_all_integrated_rows,usable_for_main_analysis,TRUE,4372,4756,0.9192598822539949
01_all_integrated_rows,usable_for_main_analysis,FALSE,384,4756,0.08074011774600505
01_all_integrated_rows,usable_for_clustering,TRUE,4372,4756,0.9192598822539949
01_all_integrated_rows,usable_for_clustering,FALSE,384,4756,0.08074011774600505
01_all_integrated_rows,political_lr_group,Missing,3803,4756,0.7996215306980656
01_all_integrated_rows,political_lr_group,20_39_left,290,4756,0.06097560975609756
01_all_integrated_rows,political_lr_group,00_19_extreme_left,273,4756,0.05740117746005046
01_all_integrated_rows,political_lr_group,40_59_centre,215,4756,0.04520605550883095
01_all_integrated_rows,political_lr_group,60_79_right,132,4756,0.027754415475189236
01_all_integrated_rows,political_lr_group,80_100_extreme_right,43,4756,0.00904121110176619
02_usable_for_main_analysis,dataset_source,diego,1899,4372,0.43435498627630376
02_usable_for_main_analysis,dataset_source,why,1579,4372,0.3611619396157365
02_usable_for_main_analysis,dataset_source,rv,894,4372,0.20448307410795974
02_usable_for_main_analysis,subsample,DIEGO,1899,4372,0.43435498627630376
02_usable_for_main_analysis,subsample,WHY_EUROPE,971,4372,0.22209515096065874
02_usable_for_main_analysis,subsample,RENOVISOR,894,4372,0.20448307410795974
02_usable_for_main_analysis,subsample,WHY_LATAM,608,4372,0.13906678865507777
02_usable_for_main_analysis,comparison_region,EUROPE,3764,4372,0.8609332113449222
02_usable_for_main_analysis,comparison_region,LATAM,608,4372,0.13906678865507777
02_usable_for_main_analysis,source_survey,Survey_September2023_cleaned,1899,4372,0.43435498627630376
02_usable_for_main_analysis,source_survey,Investment_Arquetypes_2022,1579,4372,0.3611619396157365
02_usable_for_main_analysis,source_survey,decision,840,4372,0.19213174748398903
02_usable_for_main_analysis,source_survey,concerns2;decision,16,4372,0.0036596523330283625
02_usable_for_main_analysis,source_survey,concerns2;decision;poverty,12,4372,0.0027447392497712718
02_usable_for_main_analysis,source_survey,concerns2;decision;energy_crisis;poverty,10,4372,0.0022872827081427266
02_usable_for_main_analysis,source_survey,decision;energy_crisis,9,4372,0.0020585544373284536
02_usable_for_main_analysis,source_survey,decision;energy_crisis;poverty,6,4372,0.0013723696248856359
02_usable_for_main_analysis,source_survey,decision;poverty,1,4372,2.2872827081427266e-4
02_usable_for_main_analysis,country_model,DE,785,4372,0.17955169258920403
02_usable_for_main_analysis,country_model,IT,747,4372,0.17086001829826167
02_usable_for_main_analysis,country_model,ES,596,4372,0.13632204940530648
02_usable_for_main_analysis,country_model,MX,517,4372,0.11825251601097896
02_usable_for_main_analysis,country_model,NL,385,4372,0.08806038426349497
02_usable_for_main_analysis,country_model,GR,235,4372,0.05375114364135407
02_usable_for_main_analysis,country_model,FR,204,4372,0.04666056724611162
02_usable_for_main_analysis,country_model,PL,135,4372,0.030878316559926806
02_usable_for_main_analysis,country_model,BE,133,4372,0.030420860018298263
02_usable_for_main_analysis,country_model,GB,112,4372,0.025617566331198535
02_usable_for_main_analysis,country_model,HU,81,4372,0.018526989935956084
02_usable_for_main_analysis,country_model,CL,78,4372,0.017840805123513267
02_usable_for_main_analysis,country_model,Missing,58,4372,0.013266239707227814
02_usable_for_main_analysis,country_model,IE,36,4372,0.008234217749313814
02_usable_for_main_analysis,country_model,PT,34,4372,0.00777676120768527
02_usable_for_main_analysis,country_model,RO,32,4372,0.007319304666056725
02_usable_for_main_analysis,country_model,CZ,31,4372,0.007090576395242452
02_usable_for_main_analysis,country_model,AT,28,4372,0.006404391582799634
02_usable_for_main_analysis,country_model,SE,23,4372,0.0052607502287282705
02_usable_for_main_analysis,country_model,FI,21,4372,0.004803293687099725
02_usable_for_main_analysis,country_model,LV,18,4372,0.004117108874656907
02_usable_for_main_analysis,country_model,SI,16,4372,0.0036596523330283625
02_usable_for_main_analysis,country_model,CO,13,4372,0.0029734675205855443
02_usable_for_main_analysis,country_model,CH,11,4372,0.002516010978956999
02_usable_for_main_analysis,country_model,DK,9,4372,0.0020585544373284536
02_usable_for_main_analysis,country_model,SK,9,4372,0.0020585544373284536
02_usable_for_main_analysis,country_model,NO,8,4372,0.0018298261665141812
02_usable_for_main_analysis,country_model,EE,7,4372,0.0016010978956999085
02_usable_for_main_analysis,country_model,BG,3,4372,6.861848124428179e-4
02_usable_for_main_analysis,country_model,IS,2,4372,4.574565416285453e-4
02_usable_for_main_analysis,country_model,LT,2,4372,4.574565416285453e-4
