"","survey","variable","question"
"63","decision","added_value_i_will_only_invest_if_my_actions_have_an_impact_beyond_the_monetary_gain_losses","ADDED VALUE: I will only invest if my actions have an impact beyond the monetary gain/losses."
"64","decision","frugality_i_am_a_thrifty_person_so_i_only_invest_in_actions_that_allow_me_to_reduce_my_cost_impact_expenditures","FRUGALITY: I am a thrifty person, so I only invest in actions that allow me to reduce my cost/impact/expenditures."
"65","decision","climate_protection_every_decision_i_take_serves_to_foster_the_planet_s_preservation_if_my_choice_might_harm_the_environment_i_will_always_avoid_taking_this_action","CLIMATE PROTECTION: Every decision I take serves to foster the planet's preservation. If my choice might harm the environment, I will always avoid taking this action."
"66","decision","legal_having_complete_certainty_that_my_actions_comply_with_the_legal_tax_and_administrative_regulations_are_what_guide_my_actions","LEGAL: Having complete certainty that my actions comply with the legal, tax and administrative regulations are what guide my actions."
"67","decision","trust_i_only_make_decisions_if_i_trust_all_the_parties_involved_e_g_public_administration_neighbors_and_that_i_trust_the_technology_that_is_needed_to_accomplish_my_goal","TRUST: I only make decisions if I trust all the parties involved (e.g. public administration, neighbors) and that I trust the technology that is needed to accomplish my goal."
"68","decision","safety_i_only_make_decisions_if_the_outcome_of_them_ensures_or_improves_my_safety_or_the_ones_of_my_relatives","SAFETY: I only make decisions if the outcome of them ensures or improves my safety or the ones of my relatives."
"69","decision","cost_efficiency_i_always_review_and_assess_the_pros_and_cons_of_my_decisions_looking_for_the_most_cost_effective_option","COST-EFFICIENCY: I always review and assess the pros and cons of my decisions looking for the most cost-effective option."
"70","decision","knowledge_i_do_not_make_a_decision_if_i_do_not_have_enough_knowledge_of_the_subject_matter","KNOWLEDGE: I do not make a decision if I do not have enough knowledge of the subject matter."
"71","decision","own_competence_feeling_that_i_am_competent_to_make_an_investment_is_what_guides_my_decision_making","OWN COMPETENCE: Feeling that I am competent to make an investment is what guides my decision making."
"72","decision","technical_fit_i_carefully_check_that_the_technology_or_equipment_fits_my_lifestyle_or_the_technical_requirements_before_making_an_investment_decision","TECHNICAL FIT: I carefully check that the technology or equipment fits my lifestyle or the technical requirements before making an investment decision."
"73","decision","environmental_concerns_i_always_review_and_assess_the_pros_and_cons_of_my_decisions_in_relation_to_the_environment_before_making_a_decision","ENVIRONMENTAL CONCERNS: I always review and assess the pros and cons of my decisions in relation to the environment before making a decision."
"74","decision","self_satisfaction_i_will_only_make_a_decision_if_i_feel_satisfied_with_the_action_and_the_expected_outcome","SELF-SATISFACTION: I will only make a decision if I feel satisfied with the action and the expected outcome."
"75","decision","commitment_i_only_make_a_decision_if_i_feel_personally_committed_to_the_action_and_the_expected_outcome","COMMITMENT: I only make a decision if I feel personally committed to the action and the expected outcome."
"76","decision","adherence_i_will_only_make_a_decision_if_i_feel_that_i_can_sustain_it_throughout_time","ADHERENCE: I will only make a decision if I feel that I can sustain it throughout time."
"77","decision","autonomy_self_sufficiency_and_individual_sovereignty_is_what_guide_my_decisions_i_will_only_make_a_decision_if_i_feel_that_the_investment_will_improve_my_control_of_all_circumstances_and_potential_outcomes","AUTONOMY: Self-sufficiency and individual sovereignty is what guide my decisions. I will only make a decision if I feel that the investment will improve my control of all circumstances and potential outcomes."
"78","decision","wellbeing_i_will_only_make_a_decision_if_it_improves_my_well_being_or_the_well_being_of_my_relatives","WELLBEING: I will only make a decision if it improves my well-being or the well-being of my relatives."
"79","decision","coziness_i_will_only_make_a_decision_if_it_improves_my_comfort_or_the_comfort_of_my_relatives","COZINESS: I will only make a decision if it improves my comfort or the comfort of my relatives."
"80","decision","rights_and_duties_i_firmly_believe_that_we_live_in_a_society_where_we_have_to_adhere_to_regulations_laws_and_community_agreements_by_all_means_so_my_investment_decision_has_to_agree_with_this_vision","RIGHTS AND DUTIES: I firmly believe that we live in a society where we have to adhere to regulations, laws and community agreements by all means, so my investment decision has to agree with this vision."
"81","decision","peer_pressure_my_investment_decisions_are_influenced_by_the_opinions_of_others_e_g_my_peers_relatives_or_family","PEER-PRESSURE: My investment decisions are influenced by the opinions of others (e.g. my peers, relatives or family)."
"82","decision","support_i_only_make_an_investment_decision_if_it_fulfils_a_social_need_or_improves_the_society_as_a_whole","SUPPORT: I only make an investment decision if it fulfils a social need or improves the society as a whole."
"83","decision","socialising_i_will_only_make_an_investment_decision_if_it_improves_my_possibilities_to_socialise_with_my_peers_and_relatives","SOCIALISING: I will only make an investment decision if it improves my possibilities to socialise with my peers and relatives."
"84","decision","agreement_i_will_only_make_an_investment_decision_if_the_people_affected_by_it_e_g_my_relatives_peers_or_the_community_agree_with_the_decision_cohesively","AGREEMENT: I will only make an investment decision if the people affected by it (e.g. my relatives, peers or the community) agree with the decision cohesively."
"85","decision","novelty_i_love_to_test_new_ideas_and_cutting_edge_technology_so_novelty_is_what_drives_my_investment_decisions","NOVELTY: I love to test new ideas and cutting-edge technology so novelty is what drives my investment decisions."
"86","decision","fun_having_fun_is_important_to_me_therefore_i_will_only_make_a_decision_if_it_would_be_enjoyable_and_amusing_for_me","FUN: Having fun is important to me. Therefore, I will only make a decision if it would be enjoyable and amusing for me."
"87","decision","recognition_i_make_investment_decisions_that_lead_to_my_increased_status_and_i_can_show_others_what_i_achieved","RECOGNITION: I make investment decisions that lead to my increased status and I can show others what I achieved."
"88","decision","trends_i_usually_follow_the_trends_when_making_a_decision_in_particular_i_usually_find_myself_sticking_to_the_ads_i_see_the_recommendations_of_people_i_admire_or_what_i_read_in_magazines_or_blogs_i_follow","TRENDS: I usually follow the trends when making a decision. In particular, I usually find myself sticking to the ads I see, the recommendations of people I admire, or what I read in magazines or blogs I follow."
"89","decision","authority_i_only_make_a_decision_if_it_helps_me_improve_my_position_as_an_expert_on_the_subject_matter","AUTHORITY: I only make a decision if it helps me improve my position as an expert on the subject matter."
"90","decision","approval_i_only_make_a_decision_if_it_improves_my_peers_opinions_about_me_even_if_this_decision_is_not_always_what_i_would_do_only_for_myself","APPROVAL: I only make a decision if it improves my peers' opinions about me, even if this decision is not always what I would do only for myself."
"91","decision","own_significance_i_only_make_a_decision_if_the_action_has_a_personal_inner_meaning_for_me_beyond_any_economic_gain","OWN SIGNIFICANCE: I only make a decision if the action has a personal, inner meaning for me (beyond any economic gain)."
"92","decision","please_follow_the_instruction_below_when_selecting_your_answer_select_42","Please follow the instruction below when selecting your answer. Select 42."
"93","decision","from_the_following_list_please_select_the_technology_or_energy_related_measure_you_have_implemented_at_home_that_you_consider_most_important_it_doesn_t_need_to_be_the_most_expensive_or_the_one_with_the_highest_energy_savings_simply_the_one_you_find_most_valuable_if_you_haven_t_installed_any_please_select_the_none_option","From the following list, please select the technology or energy-related measure you have implemented at home that you consider most important. It doesn't need to be the most expensive or the one with the highest energy savings—simply the one you find most valuable. (If you haven't installed any, please select the ""None"" option)."
"94","decision","how_did_you_hear_about_this_technology_or_energy_related_measure_please_select_all_that_apply","How did you hear about this technology or energy-related measure? Please select all that apply."
"95","decision","how_much_did_you_pay_to_implement_this_technology_or_energy_related_measure_if_you_do_not_know_please_skip_this_question","How much did you pay to implement this technology or energy-related measure? If you do not know, please skip this question."
"96","decision","how_many_days_did_it_take_to_implement_or_contract_this_technology_or_energy_related_measure_if_you_do_not_know_please_skip_this_question","How many days did it take to implement or contract this technology or energy-related measure? If you do not know, please skip this question."
"97","decision","which_of_the_following_problems_or_difficulties_did_you_experience_during_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure","Which of the following problems or difficulties did you experience during the process of implementing or contracting this technology or energy-related measure?"
"98","decision","please_explain_which_other_problems","Please explain which other problems."
"99","decision","how_did_you_feel_during_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_joy","How did you feel during the process of implementing or contracting this technology or energy-related measure?: Joy"
"100","decision","how_did_you_feel_during_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_trust","How did you feel during the process of implementing or contracting this technology or energy-related measure?: Trust"
"101","decision","how_did_you_feel_during_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_fear","How did you feel during the process of implementing or contracting this technology or energy-related measure?: Fear"
"102","decision","how_did_you_feel_during_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_surprise","How did you feel during the process of implementing or contracting this technology or energy-related measure?: Surprise"
"103","decision","how_did_you_feel_during_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_sadness","How did you feel during the process of implementing or contracting this technology or energy-related measure?: Sadness"
"104","decision","how_did_you_feel_during_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_disgust","How did you feel during the process of implementing or contracting this technology or energy-related measure?: Disgust"
"105","decision","how_did_you_feel_during_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_anger","How did you feel during the process of implementing or contracting this technology or energy-related measure?: Anger"
"106","decision","how_did_you_feel_during_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_anticipation","How did you feel during the process of implementing or contracting this technology or energy-related measure?: Anticipation"
"107","decision","how_did_you_feel_after_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_joy","How did you feel after the process of implementing or contracting this technology or energy-related measure?: Joy"
"108","decision","how_did_you_feel_after_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_trust","How did you feel after the process of implementing or contracting this technology or energy-related measure?: Trust"
"109","decision","how_did_you_feel_after_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_fear","How did you feel after the process of implementing or contracting this technology or energy-related measure?: Fear"
"110","decision","how_did_you_feel_after_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_surprise","How did you feel after the process of implementing or contracting this technology or energy-related measure?: Surprise"
"111","decision","how_did_you_feel_after_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_sadness","How did you feel after the process of implementing or contracting this technology or energy-related measure?: Sadness"
"112","decision","how_did_you_feel_after_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_disgust","How did you feel after the process of implementing or contracting this technology or energy-related measure?: Disgust"
"113","decision","how_did_you_feel_after_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_anger","How did you feel after the process of implementing or contracting this technology or energy-related measure?: Anger"
"114","decision","how_did_you_feel_after_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_anticipation","How did you feel after the process of implementing or contracting this technology or energy-related measure?: Anticipation"
"115","decision","what_were_the_reasons_that_led_you_to_implement_or_contract_the_selected_technology_or_energy_related_measure_please_select_the_3_most_important_for_you","What were the reasons that led you to implement or contract the selected technology or energy-related measure? Please select the 3 most important for you."
"116","decision","which_of_the_following_technologies_or_energy_related_measures_are_you_most_interested_in_implementing_in_your_home_please_choose_the_one_you_find_most_relevant_to_your_personal_needs_regardless_of_cost_or_potential_savings_select_none_option_if_you_are_not_interested_in_any","Which of the following technologies or energy-related measures are you most interested in implementing in your home? Please choose the one you find most relevant to your personal needs, regardless of cost or potential savings. (Select ""None"" option if you are not interested in any)."
"117","decision","how_did_you_hear_about_this_technology_or_energy_related_measure_please_select_all_that_apply_1","How did you hear about this technology or energy-related measure? Please select all that apply."
"118","decision","how_much_do_you_think_it_would_cost_you_to_implement_or_contract_this_technology_or_measure_please_answer_off_the_top_of_your_head_if_you_do_not_know_please_skip_this_question","How much do you think it would cost you to implement or contract this technology or measure? Please answer off the top of your head. If you do not know, please skip this question."
"119","decision","what_would_be_the_maximum_acceptable_cost_of_this_technology_or_measure_for_you_to_implement_or_contract_it_if_you_do_not_know_please_skip_this_question","What would be the maximum acceptable cost of this technology or measure for you to implement or contract it? If you do not know, please skip this question."
"120","decision","energy_efficient_technologies_and_measures_can_pay_for_themselves_through_energy_savings_over_time_after_how_many_years_of_savings_would_you_expect_the_technology_or_measure_to_have_covered_its_initial_cost_for_you_to_consider_it_a_worthwhile_investment_if_you_do_not_know_please_skip_this_question","Energy-efficient technologies and measures can pay for themselves through energy savings over time. After how many years of savings would you expect the technology or measure to have covered its initial cost for you to consider it a worthwhile investment? If you do not know, please skip this question."
"121","decision","how_many_days_do_you_think_it_would_take_to_implement_or_contract_this_technology_or_measure_please_answer_off_the_top_of_your_head_if_you_do_not_know_please_skip_this_question","How many days do you think it would take to implement or contract this technology or measure? Please answer off the top of your head. If you do not know, please skip this question."
"122","decision","how_many_days_should_the_implementation_or_contracting_of_this_technology_or_measure_take_for_you_to_be_willing_to_go_ahead_if_you_do_not_know_please_skip_this_question","How many days should the implementation or contracting of this technology or measure take for you to be willing to go ahead? If you do not know, please skip this question."
"123","decision","how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_joy","How do you feel about implementing or contracting this technology or measure?: Joy"
"124","decision","how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_trust","How do you feel about implementing or contracting this technology or measure?: Trust"
"125","decision","how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_fear","How do you feel about implementing or contracting this technology or measure?: Fear"
"126","decision","how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_surprise","How do you feel about implementing or contracting this technology or measure?: Surprise"
"127","decision","how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_sadness","How do you feel about implementing or contracting this technology or measure?: Sadness"
"128","decision","how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_disgust","How do you feel about implementing or contracting this technology or measure?: Disgust"
"129","decision","how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_anger","How do you feel about implementing or contracting this technology or measure?: Anger"
"130","decision","how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_anticipation","How do you feel about implementing or contracting this technology or measure?: Anticipation"
"131","decision","what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you","What would make you more likely to implement or contract this technology or measure? Please select the 3 most important for you."
"132","decision","is_there_a_technology_or_energy_related_measures_you_don_t_know_much_about_but_that_sparks_your_curiosity_please_select_the_one_you_would_be_most_interested_in_learning_more_about_for_your_home_select_none_option_if_you_are_already_familiar_with_all_of_them","Is there a technology or energy-related measures you don't know much about but that sparks your curiosity? Please select the one you would be most interested in learning more about for your home. (Select ""None"" option if you are already familiar with all of them)."
"133","decision","how_much_do_you_think_it_would_cost_you_to_implement_or_contract_this_technology_or_measure_please_answer_off_the_top_of_your_head_if_you_do_not_know_please_skip_this_question_1","How much do you think it would cost you to implement or contract this technology or measure? Please answer off the top of your head. If you do not know, please skip this question."
"134","decision","what_would_be_the_maximum_acceptable_cost_of_this_technology_or_measure_for_you_to_implement_or_contract_it_if_you_do_not_know_please_skip_this_question_1","What would be the maximum acceptable cost of this technology or measure for you to implement or contract it? If you do not know, please skip this question."
"135","decision","energy_efficient_technologies_and_measures_can_pay_for_themselves_through_energy_savings_over_time_after_how_many_years_of_savings_would_you_expect_the_technology_or_measure_to_have_covered_its_initial_cost_for_you_to_consider_it_a_worthwhile_investment_if_you_do_not_know_please_skip_this_question_1","Energy-efficient technologies and measures can pay for themselves through energy savings over time. After how many years of savings would you expect the technology or measure to have covered its initial cost for you to consider it a worthwhile investment? If you do not know, please skip this question."
