index,column_name
39,approval_i_only_make_a_decision_if_it_improves_my_peers_opinions_about_me_even_if_this_decision_is_not_always_what_i_would_do_only_for_myself
40,own_significance_i_only_make_a_decision_if_the_action_has_a_personal_inner_meaning_for_me_beyond_any_economic_gain
41,please_follow_the_instruction_below_when_selecting_your_answer_select_42
42,from_the_following_list_please_select_the_technology_or_energy_related_measure_you_have_implemented_at_home_that_you_consider_most_important_it_doesn_t_need_to_be_the_most_expensive_or_the_one_with_the_highest_energy_savings_simply_the_one_you_find_most_valuable_if_you_haven_t_installed_any_please_select_the_none_option
43,how_did_you_hear_about_this_technology_or_energy_related_measure_please_select_all_that_apply
44,how_much_did_you_pay_to_implement_this_technology_or_energy_related_measure_if_you_do_not_know_please_skip_this_question
45,how_many_days_did_it_take_to_implement_or_contract_this_technology_or_energy_related_measure_if_you_do_not_know_please_skip_this_question
46,which_of_the_following_problems_or_difficulties_did_you_experience_during_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure
47,please_explain_which_other_problems
48,how_did_you_feel_during_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_joy
49,how_did_you_feel_during_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_trust
50,how_did_you_feel_during_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_fear
51,how_did_you_feel_during_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_surprise
52,how_did_you_feel_during_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_sadness
53,how_did_you_feel_during_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_disgust
54,how_did_you_feel_during_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_anger
55,how_did_you_feel_during_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_anticipation
56,how_did_you_feel_after_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_joy
57,how_did_you_feel_after_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_trust
58,how_did_you_feel_after_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_fear
59,how_did_you_feel_after_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_surprise
60,how_did_you_feel_after_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_sadness
61,how_did_you_feel_after_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_disgust
62,how_did_you_feel_after_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_anger
63,how_did_you_feel_after_the_process_of_implementing_or_contracting_this_technology_or_energy_related_measure_anticipation
64,what_were_the_reasons_that_led_you_to_implement_or_contract_the_selected_technology_or_energy_related_measure_please_select_the_3_most_important_for_you
65,which_of_the_following_technologies_or_energy_related_measures_are_you_most_interested_in_implementing_in_your_home_please_choose_the_one_you_find_most_relevant_to_your_personal_needs_regardless_of_cost_or_potential_savings_select_none_option_if_you_are_not_interested_in_any
66,how_did_you_hear_about_this_technology_or_energy_related_measure_please_select_all_that_apply_1
67,how_much_do_you_think_it_would_cost_you_to_implement_or_contract_this_technology_or_measure_please_answer_off_the_top_of_your_head_if_you_do_not_know_please_skip_this_question
68,what_would_be_the_maximum_acceptable_cost_of_this_technology_or_measure_for_you_to_implement_or_contract_it_if_you_do_not_know_please_skip_this_question
69,energy_efficient_technologies_and_measures_can_pay_for_themselves_through_energy_savings_over_time_after_how_many_years_of_savings_would_you_expect_the_technology_or_measure_to_have_covered_its_initial_cost_for_you_to_consider_it_a_worthwhile_investment_if_you_do_not_know_please_skip_this_question
70,how_many_days_do_you_think_it_would_take_to_implement_or_contract_this_technology_or_measure_please_answer_off_the_top_of_your_head_if_you_do_not_know_please_skip_this_question
71,how_many_days_should_the_implementation_or_contracting_of_this_technology_or_measure_take_for_you_to_be_willing_to_go_ahead_if_you_do_not_know_please_skip_this_question
72,how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_joy
73,how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_trust
74,how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_fear
75,how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_surprise
76,how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_sadness
77,how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_disgust
78,how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_anger
79,how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_anticipation
80,what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you
81,is_there_a_technology_or_energy_related_measures_you_don_t_know_much_about_but_that_sparks_your_curiosity_please_select_the_one_you_would_be_most_interested_in_learning_more_about_for_your_home_select_none_option_if_you_are_already_familiar_with_all_of_them
82,how_much_do_you_think_it_would_cost_you_to_implement_or_contract_this_technology_or_measure_please_answer_off_the_top_of_your_head_if_you_do_not_know_please_skip_this_question_1
83,what_would_be_the_maximum_acceptable_cost_of_this_technology_or_measure_for_you_to_implement_or_contract_it_if_you_do_not_know_please_skip_this_question_1
84,energy_efficient_technologies_and_measures_can_pay_for_themselves_through_energy_savings_over_time_after_how_many_years_of_savings_would_you_expect_the_technology_or_measure_to_have_covered_its_initial_cost_for_you_to_consider_it_a_worthwhile_investment_if_you_do_not_know_please_skip_this_question_1
85,how_many_days_do_you_think_it_would_take_you_to_implement_or_contract_this_technology_or_measure_please_answer_off_the_top_of_your_head_if_you_do_not_know_please_skip_this_question
86,how_many_days_should_the_implementation_or_contracting_of_this_technology_or_measure_take_for_you_to_be_willing_to_go_ahead_if_you_do_not_know_please_skip_this_question_1
87,how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_joy_1
88,how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_trust_1
89,how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_fear_1
90,how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_surprise_1
91,how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_sadness_1
92,how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_disgust_1
93,how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_anger_1
94,how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_anticipation_1
95,what_would_make_you_more_likely_to_implement_or_contract_this_technology_or_measure_please_select_the_3_most_important_for_you_1
96,is_there_any_technology_or_energy_realted_measure_on_this_list_that_you_would_never_install_in_your_home_if_there_is_more_than_one_please_choose_the_one_you_feel_most_strongly_against_if_you_have_no_objections_to_any_of_the_technologies_please_select_the_none_option
97,how_much_do_you_think_it_would_cost_you_to_implement_or_contract_this_technology_or_measure_please_answer_off_the_top_of_your_head_if_you_do_not_know_the_answer_please_skip_the_question
98,what_would_be_the_maximum_acceptable_cost_of_this_technology_or_measure_for_you_to_implement_or_contract_it_if_you_do_not_know_the_answer_please_skip_the_question
99,energy_efficient_technologies_and_measures_can_pay_for_themselves_through_energy_savings_over_time_after_how_many_years_of_savings_would_you_expect_the_technology_or_measure_to_have_covered_its_initial_cost_for_you_to_consider_it_a_worthwhile_investment_if_you_do_not_know_the_answer_please_skip_the_question
100,how_many_days_do_you_think_it_would_take_to_implement_or_contract_this_technology_or_measure_please_answer_off_the_top_of_your_head_if_you_do_not_know_the_answer_please_skip_the_question
101,how_many_days_should_the_implementation_or_contracting_of_this_technology_or_energy_related_measure_take_for_you_to_be_willing_to_go_ahead_if_you_do_not_know_the_answer_please_skip_the_question
102,how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_joy_2
103,how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_trust_2
104,how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_fear_2
105,how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_surprise_2
106,how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_sadness_2
107,how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_disgust_2
108,how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_anger_2
109,how_do_you_feel_about_implementing_or_contracting_this_technology_or_measure_anticipation_2
110,prolific_id
111,identification_code
112,join_key
113,has_join_key
114,has_previous_survey
115,needs_external_data
116,at_the_end_of_the_survey_you_will_be_provided_a_link_to_continue_it_in_order_to_be_able_to_merge_your_answers_from_both_surveys_we_need_you_to_select_a_5_characters_identification_code_it_could_be_any_combination_of_letters_but_we_suggest_your_initials_plus_the_last_digits_of_your_birth_year_remember_to_copy_and_paste_it
117,look_at_the_three_horizontal_lines_in_the_image_which_line_is_the_longest
118,please_follow_the_instruction_below_when_selecting_your_answer_select_option_4
119,please_select_strongly_disagree
120,at_the_end_of_the_survey_you_will_be_provided_two_links_to_continue_it_in_order_to_be_able_to_merge_your_answers_from_the_surveys_we_need_you_to_select_a_5_characters_identification_code_it_could_be_any_combination_of_letters_but_we_suggest_your_initials_plus_the_last_digits_of_your_birth_year_remember_to_copy_and_paste_it_final
121,do_you_currently_work_or_study_from_home_final
122,do_you_have_any_health_condition_or_functional_limitation_that_requires_assistance_from_other_people_for_daily_activities_e_g_help_with_traveling_personal_care_or_household_tasks_final
123,for_each_of_the_following_technologies_decisions_or_behaviours_balcony_solar_kits_final
124,for_each_of_the_following_technologies_decisions_or_behaviours_change_of_electricity_tariff_e_g_switching_to_a_time_of_use_tariff_final
125,for_each_of_the_following_technologies_decisions_or_behaviours_cooling_system_final
126,for_each_of_the_following_technologies_decisions_or_behaviours_domestic_hot_water_system_e_g_gas_boiler_electric_water_heater_thermo_solar_thermal_system_final
127,for_each_of_the_following_technologies_decisions_or_behaviours_electric_vehicle_final
128,for_each_of_the_following_technologies_decisions_or_behaviours_elevator_final
129,for_each_of_the_following_technologies_decisions_or_behaviours_energy_efficient_appliances_final
130,for_each_of_the_following_technologies_decisions_or_behaviours_energy_storage_systems_final
131,for_each_of_the_following_technologies_decisions_or_behaviours_envelope_renovation_e_g_wall_roof_insulation_double_windows_final
132,for_each_of_the_following_technologies_decisions_or_behaviours_fosil_fuel_or_biomass_based_heating_system_final
133,for_each_of_the_following_technologies_decisions_or_behaviours_heat_pump_based_heating_system_final
134,for_each_of_the_following_technologies_decisions_or_behaviours_heat_recovery_mechanical_ventilation_final
135,for_each_of_the_following_technologies_decisions_or_behaviours_join_an_energy_community_final
136,for_each_of_the_following_technologies_decisions_or_behaviours_micro_efficiency_measures_e_g_avoiding_unnecessary_consumption_final
137,for_each_of_the_following_technologies_decisions_or_behaviours_rooftop_photovoltaic_system_solar_pv_final
138,for_each_of_the_following_technologies_decisions_or_behaviours_smart_home_systems_final
139,in_a_typical_day_how_much_total_time_do_you_spend_travelling_please_include_all_trips_and_all_modes_of_transport_final
140,in_a_typical_day_what_is_the_total_distance_you_travel_please_include_all_trips_and_all_modes_of_transport_car_bicycle_public_transport_walking_etc_final
141,in_which_climate_zone_do_you_live_please_select_the_option_that_corresponds_to_your_location_if_you_re_not_sure_which_climate_zone_you_live_in_please_refer_to_the_map_below_or_select_the_option_that_best_matches_your_region_final
142,in_which_country_do_you_currently_live_final
143,is_there_anything_else_you_would_like_to_share_with_us_regarding_your_experience_with_this_survey_final
144,on_a_scale_from_0_to_100_where_0_means_most_left_and_100_means_most_right_where_would_you_place_yourself_politically_final
145,on_a_scale_of_0_to_100_where_0_means_climate_change_does_not_exist_and_100_means_climate_change_is_real_and_caused_by_human_activities_how_would_you_rate_your_level_of_awareness_of_climate_change_final
146,on_a_scale_of_0_to_100_where_0_means_i_am_not_interested_in_energy_efficiency_at_all_and_100_means_i_am_interested_in_getting_the_highest_efficiency_in_my_home_even_if_the_actions_are_not_cost_effective_how_would_you_rate_your_energy_efficiency_goal_final
147,on_a_scale_of_0_to_100_where_0_means_it_is_the_first_time_i_hear_about_it_and_100_means_i_am_an_expert_or_activist_how_would_you_rate_your_level_of_awareness_about_the_energy_transition_final
148,please_enter_your_year_of_birth_final
149,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_balcony_solar_kits_final
150,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_change_of_electricity_tariff_e_g_switching_to_a_time_of_use_tariff_final
151,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_cooling_system_final
152,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_domestic_hot_water_system_e_g_gas_boiler_electric_water_heater_thermo_solar_thermal_system_final
153,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_electric_vehicle_final
154,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_elevator_final
155,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_energy_efficient_appliances_final
156,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_energy_storage_systems_final
157,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_envelope_renovation_e_g_wall_roof_insulation_double_windows_final
158,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_fosil_fuel_or_biomass_based_heating_system_final
159,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_heat_pump_based_heating_system_final
160,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_heat_recovery_mechanical_ventilation_final
161,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_join_an_energy_community_final
162,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_micro_efficiency_measures_e_g_avoiding_unnecessary_consumption_final
163,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_rooftop_photovoltaic_system_solar_pv_final
164,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_smart_home_systems_final
165,thank_you_for_reaching_this_point_in_the_survey_you_may_continue_if_you_have_time_or_finish_now_if_you_prefer_do_you_have_time_to_continue_final
166,what_is_the_approximate_population_size_of_the_city_where_you_live_final
167,what_is_the_current_tenure_status_of_your_home_final
168,what_is_the_highest_level_of_education_that_you_have_completed_if_you_are_currently_studying_and_have_not_yet_completed_a_level_please_select_the_last_level_you_have_finished_final
169,what_is_your_current_employment_status_please_indicate_your_main_contractual_status_if_you_are_temporarily_on_leave_such_as_sick_leave_parental_leave_or_a_temporary_reduction_in_working_hours_please_report_your_usual_employment_status_final
170,what_is_your_gender_final
171,what_type_of_household_do_you_live_in_please_select_the_option_that_best_describes_your_household_final
172,which_of_the_following_best_describes_your_general_approach_to_voting_in_elections_final
173,which_of_the_following_best_describes_your_usual_travel_role_final
174,which_statement_best_describes_you_when_making_an_investment_decision_related_to_your_household_final
175,problematic_merge
176,source_survey
177,year_of_birth
178,age
179,row_id
180,participant_id
181,identifier_type
182,has_prolific
183,has_code
184,prolific_value
185,code_value
186,country_clean
187,residence_region
188,has_country
189,n_sociodemographic_non_missing
190,n_key_sociodemographic_non_missing
191,has_any_sociodemographic
192,has_no_sociodemographic
193,has_no_key_sociodemographic
194,line_check_answer
195,check_42_answer
196,check_4_answer
197,strongly_disagree_answer
198,line_check_status
199,check_42_status
200,check_4_status
201,strongly_disagree_status
202,pass_line_check
203,pass_42_check
204,pass_4_check
205,pass_strongly_disagree_check
206,fail_line_check
207,fail_42_check
208,fail_4_check
209,fail_strongly_disagree_check
210,no_response_line_check
211,no_response_42_check
212,no_response_4_check
213,no_response_strongly_disagree_check
214,no_response_attention_check
215,failed_attention_check
216,failed_attention_check_decision
217,failed_attention_check_other
218,failed_attention_check_any
219,problematic_merge_flag
220,duplicate_n
221,duplicate_rank
222,duplicated_participant
223,n_determinants_valid
224,determinant_sd
225,possible_straightlining
226,row_quality
