det_id,det_name,rv_prefix,why_prefix,diego_col,det_col,rv_col,why_col,diego_col_resolved
11,knowledge,rv_decision__knowledge_,why__k_,diego_det_11_0_100,det_11_knowledge,rv_decision__knowledge_i_do_not_make_a_decision_if_i_do_not_have_enough_knowledge_of_the_subject_matter,why__k_i_do_not_make_a_decision_if_i_do_not_have_enough_knowledge_of_the_subject_matter_id105,diego_det_11_0_100
12,own_competence,rv_decision__own_competence_,why__l_,diego_det_12_0_100,det_12_own_competence,rv_decision__own_competence_feeling_that_i_am_competent_to_make_an_investment_is_what_guides_my_decision_making,why__l_feeling_that_i_am_competent_to_make_an_investment_is_what_guides_my_decision_making_id104,diego_det_12_0_100
13,technical_fit,rv_decision__technical_fit_,why__m_,diego_det_13_0_100,det_13_technical_fit,rv_decision__technical_fit_i_carefully_check_that_the_technology_or_equipment_fits_my_lifestyle_or_the_technical_requirements_before_making_an_investment_decision,why__m_i_carefully_check_that_the_technology_or_equipment_fits_my_lifestyle_or_the_technical_requirements_before_making_an_investment_decision_id103,diego_det_13_0_100
14,environmental_concerns,rv_decision__environmental_concerns_,why__n_,diego_det_14_0_100,det_14_environmental_concerns,rv_decision__environmental_concerns_i_always_review_and_assess_the_pros_and_cons_of_my_decisions_in_relation_to_the_environment_before_making_a_decision,why__n_i_always_review_and_assess_the_pros_and_cons_of_my_decisions_in_relation_to_the_environment_before_making_a_decision_id3,diego_det_14_0_100
15,self_satisfaction,rv_decision__self_satisfaction_,why__o_,diego_det_15_0_100,det_15_self_satisfaction,rv_decision__self_satisfaction_i_will_only_make_a_decision_if_i_feel_satisfied_with_the_action_and_the_expected_outcome,why__o_i_will_only_make_a_decision_if_i_feel_satisfied_with_the_action_and_the_expected_outcome_id102,diego_det_15_0_100
16,commitment,rv_decision__commitment_,why__p_,diego_det_16_0_100,det_16_commitment,rv_decision__commitment_i_only_make_a_decision_if_i_feel_personally_committed_to_the_action_and_the_expected_outcome,why__p_i_only_make_a_decision_if_i_feel_personally_committed_to_the_action_and_the_expected_outcome_id52,diego_det_16_0_100
17,adherence,rv_decision__adherence_,why__q_,diego_det_17_0_100,det_17_adherence,rv_decision__adherence_i_will_only_make_a_decision_if_i_feel_that_i_can_sustain_it_throughout_time,why__q_i_will_only_make_a_decision_if_i_feel_that_i_can_sustain_it_throughout_time_id31,diego_det_17_0_100
18,autonomy,rv_decision__autonomy_,why__r_,diego_det_18_0_100,det_18_autonomy,rv_decision__autonomy_self_sufficiency_and_individual_sovereignty_is_what_guide_my_decisions_i_will_only_make_a_decision_if_i_feel_that_the_investment_will_improve_my_control_of_all_circumstances_and_potential_outcomes,why__r_self_sufficiency_and_individual_sovereignty_is_what_guide_my_decisions_i_will_only_make_a_decision_if_i_feel_that_the_investment_will_improve_my_control_of_all_circumstances_and_potential_outcomes_id109,diego_det_18_0_100
19,wellbeing,rv_decision__wellbeing_,why__s_,diego_det_19_0_100,det_19_wellbeing,rv_decision__wellbeing_i_will_only_make_a_decision_if_it_improves_my_well_being_or_the_well_being_of_my_relatives,why__s_i_will_only_make_a_decision_if_it_improves_my_well_being_or_the_well_being_of_my_relatives_id112,diego_det_19_0_100
20,coziness,rv_decision__coziness_,why__t_,diego_det_20_0_100,det_20_coziness,rv_decision__coziness_i_will_only_make_a_decision_if_it_improves_my_comfort_or_the_comfort_of_my_relatives,why__t_i_will_only_make_a_decision_if_it_improves_my_comfort_or_the_comfort_of_my_relatives_id113,diego_det_20_0_100
21,rights_and_duties,rv_decision__rights_and_duties_,why__u_,diego_det_21_0_100,det_21_rights_and_duties,rv_decision__rights_and_duties_i_firmly_believe_that_we_live_in_a_society_where_we_have_to_adhere_to_regulations_laws_and_community_agreements_by_all_means_so_my_investment_decision_has_to_agree_with_this_vision,why__u_i_firmly_believe_that_we_live_in_a_society_where_we_have_to_adhere_to_regulations_laws_and_community_agreements_by_all_means_so_my_investment_decision_has_to_agree_with_this_vision_id114,diego_det_21_0_100
22,peer_pressure,rv_decision__peer_pressure_,why__v_,diego_det_22_0_100,det_22_peer_pressure,rv_decision__peer_pressure_my_investment_decisions_are_influenced_by_the_opinions_of_others_e_g_my_peers_relatives_or_family,why__v_my_investment_decisions_are_influenced_by_the_opinions_of_others_such_as_my_peers_relatives_or_family_id115,diego_det_22_0_100
23,support,rv_decision__support_,why__w_,diego_det_23_0_100,det_23_support,rv_decision__support_i_only_make_an_investment_decision_if_it_fulfils_a_social_need_or_improves_the_society_as_a_whole,why__w_i_only_make_an_investment_decision_if_it_fulfill_a_social_need_or_improve_the_society_as_a_whole_id117,diego_det_23_0_100
24,socialising,rv_decision__socialising_,why__x_,diego_det_24_0_100,det_24_socialising,rv_decision__socialising_i_will_only_make_an_investment_decision_if_it_improves_my_possibilities_to_socialise_with_my_peers_and_relatives,why__x_i_will_only_make_an_investment_decision_if_it_improves_my_possibilities_to_socialise_with_my_peers_and_relatives_id116,diego_det_24_0_100
25,agreement,rv_decision__agreement_,why__y_,diego_det_25_0_100,det_25_agreement,rv_decision__agreement_i_will_only_make_an_investment_decision_if_the_people_affected_by_it_e_g_my_relatives_peers_or_the_community_agree_with_the_decision_cohesively,why__y_i_will_only_make_an_investment_decision_if_the_people_affected_by_it_for_example_my_relatives_peers_or_the_community_agree_with_the_decision_cohesively_id118,diego_det_25_0_100
26,novelty,rv_decision__novelty_,why__z_,diego_det_26_0_100,det_26_novelty,rv_decision__novelty_i_love_to_test_new_ideas_and_cutting_edge_technology_so_novelty_is_what_drives_my_investment_decisions,why__z_i_love_to_test_new_ideas_and_cutting_edge_technology_so_novelty_is_what_drives_my_investment_decisions_id121,diego_det_26_0_100
27,fun,rv_decision__fun_,why__aa_,diego_det_27_0_100,det_27_fun,rv_decision__fun_having_fun_is_important_to_me_therefore_i_will_only_make_a_decision_if_it_would_be_enjoyable_and_amusing_for_me,why__aa_having_fun_is_important_to_me_therefore_i_will_only_make_a_decision_if_it_would_be_enjoyable_and_amusing_for_me_id120,diego_det_27_0_100
28,recognition,rv_decision__recognition_,why__ab_,diego_det_28_0_100,det_28_recognition,rv_decision__recognition_i_make_investment_decisions_that_lead_to_my_increased_status_and_i_can_show_others_what_i_achieved,why__ab_i_make_investment_decisions_that_lead_to_my_increased_status_and_i_can_show_others_what_i_achieved_id119,diego_det_28_0_100
29,trends,rv_decision__trends_,why__ac_,diego_det_29_0_100,det_29_trends,rv_decision__trends_i_usually_follow_the_trends_when_making_a_decision_in_particular_i_usually_find_myself_sticking_to_the_ads_i_see_the_recommendations_of_people_i_admire_or_what_i_read_in_magazines_or_blogs_i_follow,why__ac_i_usually_follow_the_trends_when_making_a_decision_in_particular_i_usually_find_myself_sticking_to_the_ads_i_see_the_recommendations_of_people_i_admire_or_what_i_read_in_magazines_or_blogs_i_follow_id122,diego_det_29_0_100
30,authority,rv_decision__authority_,why__ad_,diego_det_30_0_100,det_30_authority,rv_decision__authority_i_only_make_a_decision_if_it_helps_me_improve_my_position_as_an_expert_on_the_subject_matter,why__ad_i_only_make_a_decision_if_it_helps_me_improve_my_position_as_an_expert_on_the_subject_matter_id123,diego_det_30_0_100
31,approval,rv_decision__approval_,why__ae_,diego_det_31_0_100,det_31_approval,rv_decision__approval_i_only_make_a_decision_if_it_improves_my_peers_opinions_about_me_even_if_this_decision_is_not_always_what_i_would_do_only_for_myself,why__ae_i_only_make_a_decision_if_it_improves_my_peers_opinions_about_me_even_if_this_decision_is_not_always_what_i_would_do_only_for_myself_id125,diego_det_31_0_100
32,own_significance,rv_decision__own_significance_,why__af_,diego_det_32_0_100,det_32_own_significance,rv_decision__own_significance_i_only_make_a_decision_if_the_action_has_a_personal_inner_meaning_for_me_beyond_any_economic_gain,why__af_i_only_make_a_decision_if_the_action_has_a_personal_inner_meaning_for_me_beyond_any_economic_gain_id124,diego_det_32_0_100
