participant_id,stage,technology_raw,dimensions_raw,technology
PROLIFIC_604dedd2805fe682c5bc51c0,Implementada,Electric vehicle.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time.;PHYSIOLOGICAL: The impact of the renovation on health, physical wellbeing, and everyday comfort in the home.",Vehículo eléctrico
PROLIFIC_5d1f54b95538e6001a843293,Implementada,Energy-efficient appliances.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;COMPETENCE: How manageable the renovation feels in terms of knowledge, skills, technical feasibility, and my ability to make informed decisions.;PHYSIOLOGICAL: The impact of the renovation on health, physical wellbeing, and everyday comfort in the home.",Electrodomésticos eficientes
PROLIFIC_69932173fe3deef35c4f7e70,Implementada,Energy-efficient appliances.,"MEANING: Whether the renovation aligns with my values and sense of purpose, such as contributing to climate protection or doing something meaningful.",Electrodomésticos eficientes
PROLIFIC_69edcc3c9f52558843ab7d99,Implementada,Energy-efficient appliances.,"AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time.",Electrodomésticos eficientes
PROLIFIC_69eca1e06533d42ff1306a24,Implementada,Micro-efficiency measures (e.g. avoiding unnecessary loads).,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;COMPETENCE: How manageable the renovation feels in terms of knowledge, skills, technical feasibility, and my ability to make informed decisions.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time.",Medidas de microeficiencia
22,Implementada,Domestic hot water system.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;POPULARITY: The influence of social norms, trends, or public opinion, including whether the renovation is socially recognised or supported by others.;MEANING: Whether the renovation aligns with my values and sense of purpose, such as contributing to climate protection or doing something meaningful.",Agua caliente sanitaria
PROLIFIC_69d763affd0080c0bffcd367,Implementada,"Envelope renovation (e.g. wall/roof insulation, double windows).","FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;PHYSIOLOGICAL: The impact of the renovation on health, physical wellbeing, and everyday comfort in the home.;MEANING: Whether the renovation aligns with my values and sense of purpose, such as contributing to climate protection or doing something meaningful.",Renovación de envolvente
PROLIFIC_6103a3ece71ab061d5624402,Implementada,Energy-efficient appliances.,"SECURITY: The level of security and reliability involved, including legal certainty, safety risks, and trust in institutions, people, and technologies.;PHYSIOLOGICAL: The impact of the renovation on health, physical wellbeing, and everyday comfort in the home.;MEANING: Whether the renovation aligns with my values and sense of purpose, such as contributing to climate protection or doing something meaningful.",Electrodomésticos eficientes
PROLIFIC_69e213021f9224d147d5908b,Implementada,Electric vehicle.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;SECURITY: The level of security and reliability involved, including legal certainty, safety risks, and trust in institutions, people, and technologies.;MEANING: Whether the renovation aligns with my values and sense of purpose, such as contributing to climate protection or doing something meaningful.",Vehículo eléctrico
PROLIFIC_672b6f50809e58bcc13a57b4,Implementada,"Envelope renovation (e.g. wall/roof insulation, double windows).","FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.",Renovación de envolvente
PROLIFIC_699776549800aa3b0399d642,Implementada,Micro-efficiency measures (e.g. avoiding unnecessary loads).,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time.;MEANING: Whether the renovation aligns with my values and sense of purpose, such as contributing to climate protection or doing something meaningful.",Medidas de microeficiencia
PROLIFIC_6a229862a12b21ee07229d8a,Implementada,Cooling system.,"COMPETENCE: How manageable the renovation feels in terms of knowledge, skills, technical feasibility, and my ability to make informed decisions.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time.;PHYSIOLOGICAL: The impact of the renovation on health, physical wellbeing, and everyday comfort in the home.",Sistema de refrigeración
PROLIFIC_66045ed49119e654e5454985,Implementada,Domestic hot water system.,"AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time.;PHYSIOLOGICAL: The impact of the renovation on health, physical wellbeing, and everyday comfort in the home.;RELATEDNESS: How the renovation affects my relationships, social environment, and interactions with neighbours, family, or the wider community.",Agua caliente sanitaria
PROLIFIC_5d6558fa16871700012ea47b,Implementada,Micro-efficiency measures (e.g. avoiding unnecessary loads).,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;PHYSIOLOGICAL: The impact of the renovation on health, physical wellbeing, and everyday comfort in the home.;STIMULATION: Whether the renovation feels interesting, engaging, or motivating, for example because it involves learning something new or trying innovative solutions.",Medidas de microeficiencia
PROLIFIC_57e928630cb6700001dd8f8a,Implementada,Balcony solar kits.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;COMPETENCE: How manageable the renovation feels in terms of knowledge, skills, technical feasibility, and my ability to make informed decisions.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time.",Kits solares de balcón
PROLIFIC_698fa8ec85144121c0643338,Implementada,Smart home devices.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;SECURITY: The level of security and reliability involved, including legal certainty, safety risks, and trust in institutions, people, and technologies.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time.",Sistemas inteligentes del hogar
PROLIFIC_697907c3546949f10030ddf1,Implementada,Energy-efficient appliances.,"MEANING: Whether the renovation aligns with my values and sense of purpose, such as contributing to climate protection or doing something meaningful.",Electrodomésticos eficientes
PROLIFIC_5eda1423dd2241017d85fd44,Implementada,Cooling system.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;PHYSIOLOGICAL: The impact of the renovation on health, physical wellbeing, and everyday comfort in the home.;STIMULATION: Whether the renovation feels interesting, engaging, or motivating, for example because it involves learning something new or trying innovative solutions.",Sistema de refrigeración
PROLIFIC_698eea589bb7dd5212c5e3c9,Implementada,"Envelope renovation (e.g. wall/roof insulation, double windows).","FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;PHYSIOLOGICAL: The impact of the renovation on health, physical wellbeing, and everyday comfort in the home.;MEANING: Whether the renovation aligns with my values and sense of purpose, such as contributing to climate protection or doing something meaningful.",Renovación de envolvente
PROLIFIC_69b9bf5f0faac70cd0e24cf6,Implementada,Rooftop photovoltaic system (Solar PV).,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.",Renovación de envolvente
PROLIFIC_6a0daf62ec01cd69c04d1da8,Implementada,Smart home devices.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;SECURITY: The level of security and reliability involved, including legal certainty, safety risks, and trust in institutions, people, and technologies.",Sistemas inteligentes del hogar
PROLIFIC_6990691f5ced735f10ff3bba,Implementada,Domestic hot water system.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;SECURITY: The level of security and reliability involved, including legal certainty, safety risks, and trust in institutions, people, and technologies.;PHYSIOLOGICAL: The impact of the renovation on health, physical wellbeing, and everyday comfort in the home.",Agua caliente sanitaria
PROLIFIC_61034f24da19cc56177b8b59,Implementada,Domestic hot water system.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;SECURITY: The level of security and reliability involved, including legal certainty, safety risks, and trust in institutions, people, and technologies.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time.",Agua caliente sanitaria
PROLIFIC_697b1a2669af0b3f24790e20,Implementada,"Envelope renovation (e.g. wall/roof insulation, double windows).","FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;SECURITY: The level of security and reliability involved, including legal certainty, safety risks, and trust in institutions, people, and technologies.;PHYSIOLOGICAL: The impact of the renovation on health, physical wellbeing, and everyday comfort in the home.",Renovación de envolvente
PROLIFIC_6a0c1bc666f7cca388e60c9c,Implementada,"Envelope renovation (e.g. wall/roof insulation, double windows).","FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;SECURITY: The level of security and reliability involved, including legal certainty, safety risks, and trust in institutions, people, and technologies.;PHYSIOLOGICAL: The impact of the renovation on health, physical wellbeing, and everyday comfort in the home.",Renovación de envolvente
PROLIFIC_6a2287e1de4099ccf09eac69,Implementada,"Envelope renovation (e.g. wall/roof insulation, double windows).","FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;COMPETENCE: How manageable the renovation feels in terms of knowledge, skills, technical feasibility, and my ability to make informed decisions.;PHYSIOLOGICAL: The impact of the renovation on health, physical wellbeing, and everyday comfort in the home.",Renovación de envolvente
PROLIFIC_64edf002c925fb837ee0a770,Implementada,Heat pump based heating system.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time.",Bomba de calor
PROLIFIC_6a06ce99e7948a2b48b807b8,Implementada,Change of electricity tariff (e.g. switching to a time-of-use tariff).,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time.",Cambio de tarifa eléctrica
PROLIFIC_69f349141b7a57cdd52b671c,Implementada,"Envelope renovation (e.g. wall/roof insulation, double windows).","FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;PHYSIOLOGICAL: The impact of the renovation on health, physical wellbeing, and everyday comfort in the home.",Renovación de envolvente
PROLIFIC_69f732a6afef1c53157db063,Implementada,Heat pump based heating system.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time.;MEANING: Whether the renovation aligns with my values and sense of purpose, such as contributing to climate protection or doing something meaningful.",Bomba de calor
PROLIFIC_5e9c3ff1cf719d151612648f,Implementada,Change of electricity tariff (e.g. switching to a time-of-use tariff).,"MEANING: Whether the renovation aligns with my values and sense of purpose, such as contributing to climate protection or doing something meaningful.",Cambio de tarifa eléctrica
PROLIFIC_5cf101ea48405a0018415d09,Implementada,"Envelope renovation (e.g. wall/roof insulation, double windows).","FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;COMPETENCE: How manageable the renovation feels in terms of knowledge, skills, technical feasibility, and my ability to make informed decisions.",Renovación de envolvente
PROLIFIC_5f21ff288900cb4709dd49aa,Implementada,Smart home devices.,"SECURITY: The level of security and reliability involved, including legal certainty, safety risks, and trust in institutions, people, and technologies.;STIMULATION: Whether the renovation feels interesting, engaging, or motivating, for example because it involves learning something new or trying innovative solutions.;MEANING: Whether the renovation aligns with my values and sense of purpose, such as contributing to climate protection or doing something meaningful.",Sistemas inteligentes del hogar
PROLIFIC_5d7e41aea60f7b00013cf1af,Implementada,Energy-efficient appliances.,"AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time.;PHYSIOLOGICAL: The impact of the renovation on health, physical wellbeing, and everyday comfort in the home.;MEANING: Whether the renovation aligns with my values and sense of purpose, such as contributing to climate protection or doing something meaningful.",Electrodomésticos eficientes
PROLIFIC_6a204321d4201071efadc417,Implementada,Micro-efficiency measures (e.g. avoiding unnecessary loads).,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;SECURITY: The level of security and reliability involved, including legal certainty, safety risks, and trust in institutions, people, and technologies.;POPULARITY: The influence of social norms, trends, or public opinion, including whether the renovation is socially recognised or supported by others.",Medidas de microeficiencia
PROLIFIC_6976fca13dd3674fd0702a52,Implementada,"Envelope renovation (e.g. wall/roof insulation, double windows).","FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time.;MEANING: Whether the renovation aligns with my values and sense of purpose, such as contributing to climate protection or doing something meaningful.",Renovación de envolvente
PROLIFIC_6a098c627878fd02b2b0766e,Implementada,"Envelope renovation (e.g. wall/roof insulation, double windows).","FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;SECURITY: The level of security and reliability involved, including legal certainty, safety risks, and trust in institutions, people, and technologies.;POPULARITY: The influence of social norms, trends, or public opinion, including whether the renovation is socially recognised or supported by others.",Renovación de envolvente
PROLIFIC_698f1a372de6aef866bec656,Implementada,Micro-efficiency measures (e.g. avoiding unnecessary loads).,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;SECURITY: The level of security and reliability involved, including legal certainty, safety risks, and trust in institutions, people, and technologies.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time.",Medidas de microeficiencia
PROLIFIC_69fc2d7674f4ab68ebfd7559,Implementada,Change of electricity tariff (e.g. switching to a time-of-use tariff).,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time.;MEANING: Whether the renovation aligns with my values and sense of purpose, such as contributing to climate protection or doing something meaningful.",Cambio de tarifa eléctrica
PROLIFIC_6a005381c9f64426562d2587,Implementada,Heat pump based heating system.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;SECURITY: The level of security and reliability involved, including legal certainty, safety risks, and trust in institutions, people, and technologies.;PHYSIOLOGICAL: The impact of the renovation on health, physical wellbeing, and everyday comfort in the home.",Bomba de calor
PROLIFIC_69f4823b807f06208c1f8ff8,Implementada,Energy-efficient appliances.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;MEANING: Whether the renovation aligns with my values and sense of purpose, such as contributing to climate protection or doing something meaningful.",Electrodomésticos eficientes
PROLIFIC_69c6a6aade93df9f06f725a2,Implementada,Micro-efficiency measures (e.g. avoiding unnecessary loads).,"MEANING: Whether the renovation aligns with my values and sense of purpose, such as contributing to climate protection or doing something meaningful.",Medidas de microeficiencia
PROLIFIC_69f3101cd619e2288f7cffa7,Implementada,Domestic hot water system.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;COMPETENCE: How manageable the renovation feels in terms of knowledge, skills, technical feasibility, and my ability to make informed decisions.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time.",Agua caliente sanitaria
PROLIFIC_5e92267dcc3d6c553eb8c817,Implementada,"Envelope renovation (e.g. wall/roof insulation, double windows).","FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;COMPETENCE: How manageable the renovation feels in terms of knowledge, skills, technical feasibility, and my ability to make informed decisions.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time.",Renovación de envolvente
PROLIFIC_6a229b5352a32f629034f221,Implementada,Energy-efficient appliances.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;COMPETENCE: How manageable the renovation feels in terms of knowledge, skills, technical feasibility, and my ability to make informed decisions.;PHYSIOLOGICAL: The impact of the renovation on health, physical wellbeing, and everyday comfort in the home.",Electrodomésticos eficientes
PROLIFIC_6a23e0de47bc759d7dfabea7,Implementada,Domestic hot water system.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;SECURITY: The level of security and reliability involved, including legal certainty, safety risks, and trust in institutions, people, and technologies.;COMPETENCE: How manageable the renovation feels in terms of knowledge, skills, technical feasibility, and my ability to make informed decisions.",Agua caliente sanitaria
PROLIFIC_6a21ea8132a0738c3116b9e0,Implementada,Change of electricity tariff (e.g. switching to a time-of-use tariff).,"SECURITY: The level of security and reliability involved, including legal certainty, safety risks, and trust in institutions, people, and technologies.;COMPETENCE: How manageable the renovation feels in terms of knowledge, skills, technical feasibility, and my ability to make informed decisions.;PHYSIOLOGICAL: The impact of the renovation on health, physical wellbeing, and everyday comfort in the home.",Cambio de tarifa eléctrica
PROLIFIC_697f4f0f25cc7707716e04f5,Implementada,Change of electricity tariff (e.g. switching to a time-of-use tariff).,"AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time.",Cambio de tarifa eléctrica
PROLIFIC_69d801b7ff73fd8726f49404,Implementada,Energy-efficient appliances.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;SECURITY: The level of security and reliability involved, including legal certainty, safety risks, and trust in institutions, people, and technologies.;MEANING: Whether the renovation aligns with my values and sense of purpose, such as contributing to climate protection or doing something meaningful.",Electrodomésticos eficientes
PROLIFIC_6928b5026c84fcd91c5a7a68,Implementada,Change of electricity tariff (e.g. switching to a time-of-use tariff).,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;STIMULATION: Whether the renovation feels interesting, engaging, or motivating, for example because it involves learning something new or trying innovative solutions.;MEANING: Whether the renovation aligns with my values and sense of purpose, such as contributing to climate protection or doing something meaningful.",Cambio de tarifa eléctrica
PROLIFIC_6a00ddf17a4ca511079ba36,Implementada,Smart home devices.,"SECURITY: The level of security and reliability involved, including legal certainty, safety risks, and trust in institutions, people, and technologies.;COMPETENCE: How manageable the renovation feels in terms of knowledge, skills, technical feasibility, and my ability to make informed decisions.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time.",Sistemas inteligentes del hogar
PROLIFIC_6a22f1c96d813b77a267cc7d,Implementada,Cooling system.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time.;POPULARITY: The influence of social norms, trends, or public opinion, including whether the renovation is socially recognised or supported by others.",Sistema de refrigeración
PROLIFIC_6a0d86760c5c5b905946bc00,Implementada,Smart home devices.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;SECURITY: The level of security and reliability involved, including legal certainty, safety risks, and trust in institutions, people, and technologies.;COMPETENCE: How manageable the renovation feels in terms of knowledge, skills, technical feasibility, and my ability to make informed decisions.",Sistemas inteligentes del hogar
PROLIFIC_646219bb0b91a6f3327e39fb,Implementada,Change of electricity tariff (e.g. switching to a time-of-use tariff).,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;COMPETENCE: How manageable the renovation feels in terms of knowledge, skills, technical feasibility, and my ability to make informed decisions.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time.",Cambio de tarifa eléctrica
PROLIFIC_6a0631964347cec04dfa71d1,Implementada,Fosil fuel or biomass based heating system.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;COMPETENCE: How manageable the renovation feels in terms of knowledge, skills, technical feasibility, and my ability to make informed decisions.",Calefacción fósil o biomasa
PROLIFIC_6a064be60a1feb17a9dfe824,Implementada,Change of electricity tariff (e.g. switching to a time-of-use tariff).,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.",Cambio de tarifa eléctrica
PROLIFIC_66cc80d93247b5e14b3b7112,Implementada,Energy storage systems.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.",Almacenamiento energético
PROLIFIC_6980bdf135e5d99f4cd191e6,Implementada,Energy-efficient appliances.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;SECURITY: The level of security and reliability involved, including legal certainty, safety risks, and trust in institutions, people, and technologies.;MEANING: Whether the renovation aligns with my values and sense of purpose, such as contributing to climate protection or doing something meaningful.",Electrodomésticos eficientes
PROLIFIC_602fe67919eaccd752eea5a5,Implementada,Domestic hot water system.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;SECURITY: The level of security and reliability involved, including legal certainty, safety risks, and trust in institutions, people, and technologies.;MEANING: Whether the renovation aligns with my values and sense of purpose, such as contributing to climate protection or doing something meaningful.",Agua caliente sanitaria
PROLIFIC_6a10442ceffde6b06d1cef3d,Implementada,Energy-efficient appliances.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;SECURITY: The level of security and reliability involved, including legal certainty, safety risks, and trust in institutions, people, and technologies.;MEANING: Whether the renovation aligns with my values and sense of purpose, such as contributing to climate protection or doing something meaningful.",Electrodomésticos eficientes
PROLIFIC_6929ca088209364a5246d420,Implementada,Domestic hot water system.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;SECURITY: The level of security and reliability involved, including legal certainty, safety risks, and trust in institutions, people, and technologies.;COMPETENCE: How manageable the renovation feels in terms of knowledge, skills, technical feasibility, and my ability to make informed decisions.",Agua caliente sanitaria
PROLIFIC_6470e501cc85b0287c8da951,Implementada,Energy-efficient appliances.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time.;PHYSIOLOGICAL: The impact of the renovation on health, physical wellbeing, and everyday comfort in the home.",Electrodomésticos eficientes
PROLIFIC_6985f197cf1559ac62ea5dc3,Implementada,Domestic hot water system.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time.",Agua caliente sanitaria
PROLIFIC_6a00c9657d955585296f7301,Implementada,Cooling system.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;POPULARITY: The influence of social norms, trends, or public opinion, including whether the renovation is socially recognised or supported by others.",Sistema de refrigeración
PROLIFIC_5c66cc9246bfc200019044b8,Implementada,Cooling system.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;SECURITY: The level of security and reliability involved, including legal certainty, safety risks, and trust in institutions, people, and technologies.;PHYSIOLOGICAL: The impact of the renovation on health, physical wellbeing, and everyday comfort in the home.",Sistema de refrigeración
PROLIFIC_5e86e0a50a340d32316afe9d,Implementada,Fosil fuel or biomass based heating system.,"FINANCIAL: Economic implications of the renovation, including costs, financial risks, access to funding, and potential economic benefits or losses.;SECURITY: The level of security and reliability involved, including legal certainty, safety risks, and trust in institutions, people, and technologies.;AUTONOMY: The degree of personal control, effort, and long-term commitment required, and whether I feel able to sustain the decision over time.",Calefacción fósil o biomasa
PROLIFIC_69d7f5e13c624f3ce83d2cfb,Implementada,Balcony solar kits.,"PHYSIOLOGICAL: The impact of the renovation on health, physical wellbeing, and everyday comfort in the home.;STIMULATION: Whether the renovation feels interesting, engaging, or motivating, for example because it involves learning something new or trying innovative solutions.;POPULARITY: The influence of social norms, trends, or public opinion, including whether the renovation is socially recognised or supported by others.",Kits solares de balcón
PROLIFIC_6a0d9e9144c2414b7e6adeda,Implementada,Domestic hot water system.,"PHYSIOLOGICAL: The impact of the renovation on health, physical wellbeing, and everyday comfort in the home.",Agua caliente sanitaria
